Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors,Type
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,28087,341431,299542,341431,"['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'hacktoberfest', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",4823,['Web Application']
vuejs/vue,https://github.com/vuejs/vue,JavaScript,31544,193454,27813,193454,"['framework', 'frontend', 'javascript', 'vue']",337,"['Web Application', 'Framework']"
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,TypeScript,27005,187325,108839,187325,"['angular-roadmap', 'backend-roadmap', 'computer-science', 'dba-roadmap', 'developer-roadmap', 'devops-roadmap', 'engineering', 'frontend-roadmap', 'go-roadmap', 'java-roadmap', 'python-roadmap', 'react-roadmap', 'roadmap', 'study-plan']",99,['Web Application']
facebook/react,https://github.com/facebook/react,JavaScript,37411,183142,176144,183142,"['declarative', 'frontend', 'javascript', 'library', 'react', 'ui']",1705,['Web Application']
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,21056,182081,5112,182081,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",1365,['Web Application']
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,30456,164513,11154,164513,"['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",113,['Web Application']
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,86423,163231,862841,163231,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",3927,['AI']
twbs/bootstrap,https://github.com/twbs/bootstrap,JavaScript,76229,155662,196906,155662,"['bootstrap', 'css', 'css-framework', 'html', 'javascript', 'sass', 'scss']",1508,"['Web Application', 'Framework']"
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,23711,141427,9380,141427,"['cli', 'cli-app', 'hacktoberfest', 'plugin-framework', 'plugins', 'productivity', 'shell', 'terminal', 'theme', 'themes', 'zsh', 'zsh-configuration']",2243,"['Web Application', 'Framework']"
flutter/flutter,https://github.com/flutter/flutter,Dart,20897,136986,185787,136986,"['android', 'app-framework', 'dart', 'dart-platform', 'desktop', 'fuchsia', 'ios', 'linux-desktop', 'macos', 'material-design', 'mobile', 'skia', 'web', 'web-framework', 'windows']",1062,"['Mobile App', 'Web Application', 'Framework']"
