Project Name,URL,Language,Forks,Open issues,Size Byte,Stars,Topics,Contributors,Type
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,28138,151,301967,341790,"careers, certification, community, curriculum, d3, education, freecodecamp, hacktoberfest, javascript, learn-to-code, math, nodejs, nonprofits, programming, react, teachers",4827,Web Application
vuejs/vue,https://github.com/vuejs/vue,JavaScript,31603,564,27822,193794,"framework, frontend, javascript, vue",337,"Web Application, Framework"
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,TypeScript,27111,122,109182,188238,"angular-roadmap, backend-roadmap, computer-science, dba-roadmap, developer-roadmap, devops-roadmap, engineering, frontend-roadmap, go-roadmap, java-roadmap, python-roadmap, react-roadmap, roadmap, study-plan",100,Web Application
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,21216,8,5180,184111,"api, apis, dataset, development, free, list, lists, open-source, public, public-api, public-apis, resources, software",1372,Web Application
facebook/react,https://github.com/facebook/react,JavaScript,37601,974,176253,183835,"declarative, frontend, javascript, library, react, ui",1706,Web Application
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,30660,290,11154,165728,"design, design-patterns, design-system, development, interview, interview-practice, interview-questions, programming, python, system, web, web-application, webapp",113,Web Application
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,86454,2708,865333,163388,"deep-learning, deep-neural-networks, distributed, machine-learning, ml, neural-network, python, tensorflow",3934,AI
twbs/bootstrap,https://github.com/twbs/bootstrap,JavaScript,76269,431,196945,155770,"bootstrap, css, css-framework, html, javascript, sass, scss",1508,"Web Application, Framework"
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,23745,568,9444,141726,"cli, cli-app, hacktoberfest, plugin-framework, plugins, productivity, shell, terminal, theme, themes, zsh, zsh-configuration",2250,"Web Application, Framework"
flutter/flutter,https://github.com/flutter/flutter,Dart,20972,10493,186599,137223,"android, app-framework, dart, dart-platform, desktop, fuchsia, ios, linux-desktop, macos, material-design, mobile, skia, web, web-framework, windows",1064,"Web Application, Mobile App, Framework"
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,JavaScript,22570,236,4397,136573,"algorithm, algorithms, computer-science, data-structures, interview, interview-preparation, javascript, javascript-algorithms",196,Other
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,34593,250,12571,131367,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts",829,Other
microsoft/vscode,https://github.com/microsoft/vscode,TypeScript,21763,5805,466466,128595,"editor, electron, microsoft, typescript, visual-studio-code",1975,Other
torvalds/linux,https://github.com/torvalds/linux,C,41831,319,3672815,128065,,,Other
airbnb/javascript,https://github.com/airbnb/javascript,JavaScript,23003,135,3465,120616,"arrow-functions, es2015, es2016, es2017, es2018, es6, eslint, javascript, linting, naming-conventions, style-guide, style-linter, styleguide, tc39",528,Other
vinta/awesome-python,https://github.com/vinta/awesome-python,Python,20814,240,6616,118855,"awesome, collections, python, python-framework, python-library, python-resources",416,"Web Application, Framework"
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,Java,40227,69,146562,118206,"algorithms, interview, java, jvm, mysql, redis, spring, system, system-design, zookeeper",346,Other
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python,44761,626,308945,115532,,14,Other
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,7281,4907,64016,107177,,969,Other
facebook/react-native,https://github.com/facebook/react-native,JavaScript,21840,2166,846519,101513,,3113,Other
electron/electron,https://github.com/electron/electron,C++,13262,1614,112688,100640,"c-plus-plus, chrome, css, electron, html, javascript, nodejs, v8, works-with-codespaces",1279,Web Application
d3/d3,https://github.com/d3/d3,JavaScript,22989,3,42260,100545,"chart, charts, data-visualization, svg, visualization",136,Other
golang/go,https://github.com/golang/go,Go,14380,7647,291445,96193,"go, golang, language, programming-language",2149,Other
facebook/create-react-app,https://github.com/facebook/create-react-app,JavaScript,24055,1512,22234,93804,"build-tools, react, zero-configuration",918,Web Application
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,JavaScript,9866,6,28721,92820,"awesome-list, education, es6-javascript, javascript, learn-to-code, learning-resources, nodejs, programming, snippets, snippets-collection",288,Other
axios/axios,https://github.com/axios/axios,JavaScript,9266,311,5303,91526,"hacktoberfest, http-client, javascript, nodejs, promise",329,Web Application
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,31615,2210,1059800,86154,"cncf, containers, go, kubernetes",4266,Other
nodejs/node,https://github.com/nodejs/node,JavaScript,22950,1639,794956,86040,"javascript, js, linux, macos, mit, node, nodejs, runtime, windows",3437,Other
vercel/next.js,https://github.com/vercel/next.js,JavaScript,17174,1108,1743193,82804,"blog, browser, compiler, components, hybrid, nextjs, node, react, server-rendering, ssg, static, static-site-generator, universal, vercel",2135,Web Application
microsoft/terminal,https://github.com/microsoft/terminal,C++,7234,1457,106176,81551,"cmd, command-line, console, terminal, windows-console, windows-terminal, wsl",324,Other
denoland/deno,https://github.com/denoland/deno,Rust,4311,799,54365,80699,"deno, javascript, rust, typescript",685,Other
angular/angular,https://github.com/angular/angular,TypeScript,21039,1608,374502,80028,"angular, javascript, pwa, typescript, web, web-framework, web-performance",1735,"Web Application, Framework"
mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript,30888,478,1143612,79754,"3d, augmented-reality, canvas, html5, javascript, svg, virtual-reality, webaudio, webgl, webgl2, webgpu, webxr",1952,Web Application
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,JavaScript,5470,160,14367,79267,"awesome, awesome-list, cloud, hosting, privacy, self-hosted, selfhosted",1081,Other
microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript,10295,5460,1689558,78596,"javascript, language, typechecker, typescript",702,Other
ant-design/ant-design,https://github.com/ant-design/ant-design,TypeScript,32841,801,806599,78553,"ant-design, antd, design-systems, react, typescript, ui-kit, ui-library",1789,Web Application
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,TypeScript,8168,1811,32512,76621,"automation, developer-tools, headless-chrome, node-module, testing, web",412,Web Application
avelino/awesome-go,https://github.com/avelino/awesome-go,Go,9574,22,10247,76537,"awesome, awesome-list, go, golang, golang-library, hacktoberfest",1784,Other
mui/material-ui,https://github.com/mui/material-ui,JavaScript,26329,999,279112,76168,"design-systems, hacktoberfest, javascript, material-design, react, react-components, typescript",2701,Web Application
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,JavaScript,7760,36,61837,75603,"best-practices, es6, eslint, express, expressjs, javascript, jest, microservices, mocha, node-js, nodejs, nodejs-development, npm, rest, style-guide, styleguide, testing, types",230,Other
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,Vue,27077,1142,15437,74510,"admin, admin-dashboard, admin-template, axios, dashboard, desktop, element, element-ui, i18n, management-system, mock, tinymce, vue, vue-admin, vue-cli, vuex, webpack, webpack4, xlsx",124,"Web Application, Mobile App"
animate-css/animate.css,https://github.com/animate-css/animate.css,CSS,16073,29,1651,73853,"animation, css, css-animations, stylesheets",129,Web Application
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,Java,22891,267,28238,73578,"awesome-list, design-patterns, hacktoberfest, java, principles, snippets, snippets-collection, snippets-library",310,Other
tensorflow/models,https://github.com/tensorflow/models,Python,45564,1306,591364,72963,,851,Other
microsoft/PowerToys,https://github.com/microsoft/PowerToys,C#,3967,2331,286682,70074,"color-picker, desktop, fancyzones, keyboard-manager, microsoft-powertoys, powerrename, powertoys, windows",295,Other
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,Java,13342,12,509807,69213,"animation, leetcode, leetcode-c, leetcode-java, leetcode-solutions",20,Other
storybookjs/storybook,https://github.com/storybookjs/storybook,TypeScript,7166,1715,475757,69200,"angular, components, design-systems, documentation, ember, html, javascript, polymer, react, react-native, storybook, styleguide, svelte, testing, typescript, ui, ui-components, vue, web-components, webpack",1694,Web Application
laravel/laravel,https://github.com/laravel/laravel,PHP,22303,30,10383,68971,"framework, laravel, php",735,"Web Application, Framework"
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,JavaScript,11970,5696,86963,68883,"css, font, fontawesome, icons, svg-icons, svg-sprites, webfont",2,Web Application
nvbn/thefuck,https://github.com/nvbn/thefuck,Python,3087,249,4087,67110,"python, shell",185,Other
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,JavaScript,9284,8,6833,66986,"algorithm, algorithm-interview, algorithm-interview-questions, algorithms, behavioral-interviews, coding-interviews, interview-practice, interview-preparation, interview-questions, system-design",109,Other
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,JavaScript,8606,54,574,64898,"best-practices, clean-architecture, clean-code, composition, inheritance, javascript, principles",117,Other
opencv/opencv,https://github.com/opencv/opencv,C++,50446,2078,504741,60093,"c-plus-plus, computer-vision, deep-learning, image-processing, opencv",1873,AI
rust-lang/rust,https://github.com/rust-lang/rust,Rust,8924,8346,786007,64146,"compiler, language, rust",4833,Other
django/django,https://github.com/django/django,Python,26698,160,221451,62781,"apps, django, framework, models, orm, python, templates, views, web",2677,"Web Application, Framework"
tonsky/FiraCode,https://github.com/tonsky/FiraCode,Clojure,2774,305,91181,62366,"font, ligatures, programming-ligatures",107,Other
moby/moby,https://github.com/moby/moby,Go,17989,4240,178744,62349,"containers, docker, go",2351,Other
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,C++,31745,1030,198392,62331,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",1048,Other
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,C,6633,946,3598,62205,"android, c, ffmpeg, libav, mirroring, recording, screen, sdl2",103,Mobile App
doocs/advanced-java,https://github.com/doocs/advanced-java,Java,16733,3,28740,61435,"advanced-java, distributed-search-engine, distributed-systems, doocs, dubbo, elasticsearch, eureka, feign, high-availability, high-concurrency, hystrix, java, message-queue, microservices-architecture, redis, ribbon, rpc, spring-cloud, springcloud-config, zookeeper",35,Other
webpack/webpack,https://github.com/webpack/webpack,JavaScript,8254,288,57347,60609,"amd, build-tool, commonjs, compiler, es2015, es6, esm, javascript, javascript-compiler, javascript-modules, loaders, module-bundler, plugins, web, web-performance, webpack",805,Web Application
opencv/opencv,https://github.com/opencv/opencv,C++,50446,2078,504741,60093,"c-plus-plus, computer-vision, deep-learning, image-processing, opencv",1873,AI
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,Java,35840,581,147350,59948,"framework, java, spring, spring-boot",1083,"Web Application, Framework"
