Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,28062,341270,298544,341270,"['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'hacktoberfest', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",4818
vuejs/vue,https://github.com/vuejs/vue,JavaScript,31510,193347,27813,193347,"['framework', 'frontend', 'javascript', 'vue']",337
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,TypeScript,26949,187065,108839,187065,"['angular-roadmap', 'backend-roadmap', 'computer-science', 'dba-roadmap', 'developer-roadmap', 'devops-roadmap', 'engineering', 'frontend-roadmap', 'go-roadmap', 'java-roadmap', 'python-roadmap', 'react-roadmap', 'roadmap', 'study-plan']",99
facebook/react,https://github.com/facebook/react,JavaScript,37352,182973,175624,182973,"['declarative', 'frontend', 'javascript', 'library', 'react', 'ui']",1704
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,20999,181760,4801,181760,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",1361
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,30360,164043,11154,164043,"['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",113
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,86409,163134,861429,163134,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",3925
twbs/bootstrap,https://github.com/twbs/bootstrap,JavaScript,76198,155621,196651,155621,"['bootstrap', 'css', 'css-framework', 'html', 'javascript', 'sass', 'scss']",1508
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,23688,141228,9375,141228,"['cli', 'cli-app', 'hacktoberfest', 'plugin-framework', 'plugins', 'productivity', 'shell', 'terminal', 'theme', 'themes', 'zsh', 'zsh-configuration']",2243
flutter/flutter,https://github.com/flutter/flutter,Dart,20843,136873,185132,136873,"['android', 'app-framework', 'dart', 'dart-platform', 'desktop', 'fuchsia', 'ios', 'linux-desktop', 'macos', 'material-design', 'mobile', 'skia', 'web', 'web-framework', 'windows']",1061
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,JavaScript,22444,135977,4417,135977,"['algorithm', 'algorithms', 'computer-science', 'data-structures', 'interview', 'interview-preparation', 'javascript', 'javascript-algorithms']",196
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,34355,129782,12571,129782,"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",829
microsoft/vscode,https://github.com/microsoft/vscode,TypeScript,21669,128136,462602,128136,"['editor', 'electron', 'microsoft', 'typescript', 'visual-studio-code']",1966
airbnb/javascript,https://github.com/airbnb/javascript,JavaScript,22886,119764,3465,119764,"['arrow-functions', 'es2015', 'es2016', 'es2017', 'es2018', 'es6', 'eslint', 'javascript', 'linting', 'naming-conventions', 'style-guide', 'style-linter', 'styleguide', 'tc39']",528
vinta/awesome-python,https://github.com/vinta/awesome-python,Python,20751,117689,6616,117689,"['awesome', 'collections', 'python', 'python-framework', 'python-library', 'python-resources']",416
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,Java,40035,117525,146244,117525,"['algorithms', 'interview', 'java', 'jvm', 'mysql', 'redis', 'spring', 'system', 'system-design', 'zookeeper']",339
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python,44688,115247,308945,115247,[],14
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,7181,106591,63988,106591,[],968
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,Markdown,20281,102749,109861,102749,"['algorithms', 'computer-science', 'data-structures', 'dynamic-programming', 'dynamic-programming-algorithm', 'interview-questions', 'kmp', 'leetcode']",84
facebook/react-native,https://github.com/facebook/react-native,JavaScript,21796,101343,846137,101343,[],3103
electron/electron,https://github.com/electron/electron,C++,13226,100467,112275,100467,"['c-plus-plus', 'chrome', 'css', 'electron', 'html', 'javascript', 'nodejs', 'v8', 'works-with-codespaces']",1276
d3/d3,https://github.com/d3/d3,JavaScript,22974,100424,42260,100424,"['chart', 'charts', 'data-visualization', 'svg', 'visualization']",136
golang/go,https://github.com/golang/go,Go,14312,95802,290358,95802,"['go', 'golang', 'language', 'programming-language']",2146
facebook/create-react-app,https://github.com/facebook/create-react-app,JavaScript,23986,93601,21811,93601,"['build-tools', 'react', 'zero-configuration']",917
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,JavaScript,9819,92479,28581,92479,"['awesome-list', 'education', 'es6-javascript', 'javascript', 'learn-to-code', 'learning-resources', 'nodejs', 'programming', 'snippets', 'snippets-collection']",288
axios/axios,https://github.com/axios/axios,JavaScript,9256,91350,4937,91350,"['hacktoberfest', 'http-client', 'javascript', 'nodejs', 'promise']",323
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,31515,85843,1058280,85843,"['cncf', 'containers', 'go', 'kubernetes']",4259
nodejs/node,https://github.com/nodejs/node,JavaScript,22869,85801,793576,85801,"['javascript', 'js', 'linux', 'macos', 'mit', 'node', 'nodejs', 'runtime', 'windows']",3433
vercel/next.js,https://github.com/vercel/next.js,JavaScript,16993,82037,1741543,82037,"['blog', 'browser', 'compiler', 'components', 'hybrid', 'nextjs', 'node', 'react', 'server-rendering', 'ssg', 'static', 'static-site-generator', 'universal', 'vercel']",2125
microsoft/terminal,https://github.com/microsoft/terminal,C++,7230,81140,106080,81140,"['cmd', 'command-line', 'console', 'terminal', 'windows-console', 'windows-terminal', 'wsl']",324
denoland/deno,https://github.com/denoland/deno,Rust,4303,80529,53794,80529,"['deno', 'javascript', 'rust', 'typescript']",683
